Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Switzerland,180.2,188.1,185.9,185.9,172.3,177.9,180.4,181.3,179.3,186.9,175.9,169.2,180.5,181.0,188.2,182.6,193.9,179.2,176.0,172.2,164.2,169.8,166.4,169.8,167.2,161.0,151.1,158.0,160.3,151.1,146.1,135.9,135.0,136.1,141.0,128.8,123.7,120.1
Turkey,28.3,30.2,33.7,36.3,35.0,37.2,37.3,38.6,41.2,39.2,43.1,46.3,47.6,48.1,46.1,48.6,43.5,46.9,49.0,51.8,52.2,57.2,60.0,59.5,59.5,62.0,65.3,68.4,66.7,67.4,72.6,75.0,78.4,76.8,79.1,77.2,82.1,82.2
Ukraine,196.6,196.9,200.4,200.1,191.0,222.9,208.6,175.9,154.2,132.6,130.4,122.6,119.3,116.1,115.4,116.8,116.2,116.5,120.4,120.8,123.2,125.5,125.8,122.1,104.4,112.4,116.6,114.4,108.8,96.4,80.3,84.3,78.6,82.0,78.0,75.3,77.3,58.7
United Kingdom,151.8,155.8,155.2,156.9,156.8,157.7,160.6,159.1,160.6,158.3,158.4,165.7,162.3,163.2,161.9,162.8,163.8,159.6,161.1,161.5,161.8,158.6,153.1,149.2,140.5,142.3,133.2,134.3,132.8,124.5,125.6,123.5,122.8,121.6,118.4,105.9,107.0,108.4
Other Europe,78.8,82.2,82.8,84.8,82.1,79.1,70.0,62.1,54.5,47.4,48.7,53.2,57.0,58.4,54.0,58.3,61.2,64.1,68.0,74.3,73.8,76.0,73.9,76.5,78.2,84.2,82.6,77.8,82.9,76.2,81.5,86.7,86.6,91.1,89.4,87.1,91.1,90.2
Azerbaijan,122.7,129.9,123.7,121.6,122.5,126.3,119.6,101.0,86.5,78.6,73.3,59.7,56.8,56.7,56.1,58.0,55.3,54.0,57.9,64.8,69.4,67.4,61.3,61.0,51.7,50.3,56.4,57.4,57.9,58.1,62.8,61.5,59.8,60.8,63.2,64.1,68.3,67.5
Belarus,145.0,164.4,165.7,167.0,160.7,160.9,160.0,138.5,115.8,96.8,86.3,88.7,90.0,88.4,86.4,89.5,87.5,91.1,91.1,102.6,103.0,110.2,108.0,109.8,104.2,113.3,111.5,120.8,109.5,109.5,99.1,101.2,103.0,114.1,114.9,107.2,114.9,112.1
Kazakhstan,185.9,186.5,186.5,189.1,183.1,183.4,181.9,179.0,158.6,143.3,131.2,116.2,104.6,100.7,96.0,87.4,98.0,99.5,108.5,114.5,116.7,124.3,136.1,141.8,125.7,133.0,148.8,154.3,152.8,158.2,129.6,143.7,152.7,156.0,156.3,142.5,152.8,160.9
Russian Federation,240.7,243.0,248.8,251.2,250.6,245.1,241.0,231.6,215.6,196.9,186.6,180.0,170.6,170.6,173.2,176.9,180.4,180.5,185.0,187.4,187.9,196.8,198.2,199.1,189.2,196.4,202.9,203.7,200.9,201.0,197.3,200.8,201.5,208.6,207.0,199.6,217.0,199.7
Turkmenistan,158.7,192.2,185.9,182.2,182.2,147.0,146.9,136.6,109.2,113.6,91.5,130.9,98.8,121.2,113.9,94.4,117.5,97.7,133.2,130.3,130.1,129.7,124.1,100.3,160.9,170.5,186.0,199.1,173.7,176.7,207.8,202.2,196.7,215.5,208.7,243.5,255.1,256.9
Uzbekistan,92.9,88.7,89.9,88.1,88.9,91.1,87.9,81.4,85.5,82.1,79.5,80.5,78.2,76.9,85.9,86.6,85.8,86.8,78.6,77.3,76.2,70.4,74.4,68.7,67.1,66.8,69.3,66.3,65.5,66.7,62.6,58.9,59.9,59.2,58.4,57.1,59.6,60.9
Other CIS,84.0,78.7,80.3,88.3,83.0,83.2,68.5,57.7,46.3,38.9,33.8,36.1,34.0,33.7,32.4,31.3,30.5,30.3,31.7,33.9,35.1,35.1,37.4,35.7,34.3,34.7,36.9,38.1,36.0,36.5,35.9,35.8,36.9,39.8,38.0,37.5,37.7,36.0
